year,playlist_url
2012,https://open.spotify.com/embed/playlist/06q0ylRXnaaxNntx6DfMmb?si=26cb0da95c8c4038&pt=45ce7953c234a41fef3e49dfab2e82de
2013,https://open.spotify.com/embed/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a
2014,https://open.spotify.com/embed/playlist/4p0LLXmQk4WOhpjGQ16eW7?si=eb652a4d4349461e&pt=e862d0af6633d6386b7ca0212d8efdb4
2015,https://open.spotify.com/embed/playlist/5j8mBlHCoqdhKS3NwnjdzJ?si=b9e004e52ab4471d
2016,https://open.spotify.com/embed/playlist/08kp8Sr0UnrLRkafdNrUCM?si=c02f061a24b7499c&pt=e53d60ef50320a02f8a09d1424aa89fe
2017,https://open.spotify.com/embed/playlist/7hvR06ICC2g29uJ3xCz3hU?si=26f3a50c993d4937
2018,https://open.spotify.com/embed/playlist/7n4Gr817HIJTRozue2awwu?si=7837db52993745fc&pt=b944bae48f027ac0ded6abbdf3564e4f
2019,https://open.spotify.com/embed/playlist/6MwUs5ffwsQqCGnivhCUJa?si=64d939a35b6e420e
2020,https://open.spotify.com/embed/playlist/2aFTa55ZL8vGo09chJO8o1?si=6bfc8c3a205d4905&pt=5ee0cc2bfe60cca5ca93078701e6b470
2021,https://open.spotify.com/embed/playlist/4eGzTH6CxuZTPODzMMPWbU?si=1e6da205723d43fc
2022,https://open.spotify.com/embed/playlist/6j2F1qMu5RUXEEukGjGNKe?si=f547c7df518145a6&pt=6ff3bfc91adb3bee970923871ed8e692